,Unnamed: 0,label,predicate
173,6381,first appearance,http://www.wikidata.org/prop/direct/P4584
194,10502,fit during recurring event,http://www.wikidata.org/prop/direct/P9215
201,13020,fit in environment,http://www.wikidata.org/prop/direct/P8411
121,2010,fit in period,http://www.wikidata.org/prop/direct/P2408
81,556,follow,http://www.wikidata.org/prop/direct/P155
45,214,follow by,http://www.wikidata.org/prop/direct/P156
45,214,followed by,http://www.wikidata.org/prop/direct/P156
81,556,follows,http://www.wikidata.org/prop/direct/P155
47,222,form location,http://www.wikidata.org/prop/direct/P937
163,5480,form of creativ work,http://www.wikidata.org/prop/direct/P7937
163,5480,form of creative form,http://www.wikidata.org/prop/direct/P7937
163,5480,form of creative work,http://www.wikidata.org/prop/direct/P7937
163,5480,form of creative worker,http://www.wikidata.org/prop/direct/P7937
163,5480,format of creative work,http://www.wikidata.org/prop/direct/P7937
73,402,found by,http://www.wikidata.org/prop/direct/P112
73,402,foundat by,http://www.wikidata.org/prop/direct/P112
73,402,foundated by,http://www.wikidata.org/prop/direct/P112
73,402,founded by,http://www.wikidata.org/prop/direct/P112
73,402,founder by,http://www.wikidata.org/prop/direct/P112
73,402,foundered by,http://www.wikidata.org/prop/direct/P112
171,6333,fpb rate,http://www.wikidata.org/prop/direct/P4437
62,339,from narr univers,http://www.wikidata.org/prop/direct/P1080
62,339,from narrative univers,http://www.wikidata.org/prop/direct/P1080
62,339,from narrative universe,http://www.wikidata.org/prop/direct/P1080
36,112,fsk film rate,http://www.wikidata.org/prop/direct/P1981
0,0,genr,http://www.wikidata.org/prop/direct/P136
0,0,genre,http://www.wikidata.org/prop/direct/P136
130,2667,give name,http://www.wikidata.org/prop/direct/P735
130,2667,given name,http://www.wikidata.org/prop/direct/P735
130,2667,given namer,http://www.wikidata.org/prop/direct/P735
130,2667,giver name,http://www.wikidata.org/prop/direct/P735
73,402,grounded by,http://www.wikidata.org/prop/direct/P112
220,29847,ha caus,http://www.wikidata.org/prop/direct/P828
231,52651,ha edit or translat,http://www.wikidata.org/prop/direct/P747
177,6657,ha effect,http://www.wikidata.org/prop/direct/P1542
40,147,ha part,http://www.wikidata.org/prop/direct/P527
238,71095,ha pet,http://www.wikidata.org/prop/direct/P1429
51,253,ha qualiti,http://www.wikidata.org/prop/direct/P1552
148,4446,ha work in the collect,http://www.wikidata.org/prop/direct/P6379
220,29847,has caus,http://www.wikidata.org/prop/direct/P828
220,29847,has causal,http://www.wikidata.org/prop/direct/P828
220,29847,has causat,http://www.wikidata.org/prop/direct/P828
220,29847,has cause,http://www.wikidata.org/prop/direct/P828
40,147,has depart,http://www.wikidata.org/prop/direct/P527
231,52651,has edition or translation,http://www.wikidata.org/prop/direct/P747
231,52651,has editorion or translation,http://www.wikidata.org/prop/direct/P747
177,6657,has effect,http://www.wikidata.org/prop/direct/P1542
177,6657,has effector,http://www.wikidata.org/prop/direct/P1542
177,6657,has effectu,http://www.wikidata.org/prop/direct/P1542
148,4446,has forms in the collection,http://www.wikidata.org/prop/direct/P6379
40,147,has part,http://www.wikidata.org/prop/direct/P527
40,147,has partit,http://www.wikidata.org/prop/direct/P527
238,71095,has pet,http://www.wikidata.org/prop/direct/P1429
51,253,has qualifi,http://www.wikidata.org/prop/direct/P1552
51,253,has quality,http://www.wikidata.org/prop/direct/P1552
148,4446,has work in the collection,http://www.wikidata.org/prop/direct/P6379
148,4446,has worker in the collection,http://www.wikidata.org/prop/direct/P6379
148,4446,has workers in the collection,http://www.wikidata.org/prop/direct/P6379
148,4446,has works in the collection,http://www.wikidata.org/prop/direct/P6379
148,4446,has works in the collectorion,http://www.wikidata.org/prop/direct/P6379
148,4446,has works inch the collection,http://www.wikidata.org/prop/direct/P6379
220,29847,have cause,http://www.wikidata.org/prop/direct/P828
231,52651,have edition or translation,http://www.wikidata.org/prop/direct/P747
177,6657,have effect,http://www.wikidata.org/prop/direct/P1542
40,147,have part,http://www.wikidata.org/prop/direct/P527
238,71095,have pet,http://www.wikidata.org/prop/direct/P1429
51,253,have quality,http://www.wikidata.org/prop/direct/P1552
148,4446,have works in the collection,http://www.wikidata.org/prop/direct/P6379
226,38444,head of govern,http://www.wikidata.org/prop/direct/P6
226,38444,head of government,http://www.wikidata.org/prop/direct/P6
226,38444,head of governorment,http://www.wikidata.org/prop/direct/P6
229,47625,head of state,http://www.wikidata.org/prop/direct/P35
226,38444,header of government,http://www.wikidata.org/prop/direct/P6
229,47625,header of state,http://www.wikidata.org/prop/direct/P35
226,38444,headi of government,http://www.wikidata.org/prop/direct/P6
229,47625,headi of state,http://www.wikidata.org/prop/direct/P35
102,1000,headquart locat,http://www.wikidata.org/prop/direct/P159
102,1000,headquarters location,http://www.wikidata.org/prop/direct/P159
222,30198,health special,http://www.wikidata.org/prop/direct/P1995
222,30198,health specialis,http://www.wikidata.org/prop/direct/P1995
222,30198,health specialti,http://www.wikidata.org/prop/direct/P1995
222,30198,health specialty,http://www.wikidata.org/prop/direct/P1995
222,30198,healthi specialty,http://www.wikidata.org/prop/direct/P1995
143,3887,histor counti,http://www.wikidata.org/prop/direct/P7959
143,3887,histori county,http://www.wikidata.org/prop/direct/P7959
143,3887,historic county,http://www.wikidata.org/prop/direct/P7959
155,4857,home world,http://www.wikidata.org/prop/direct/P1165
155,4857,homey world,http://www.wikidata.org/prop/direct/P1165
155,4857,homi world,http://www.wikidata.org/prop/direct/P1165
96,897,hong kong film rate,http://www.wikidata.org/prop/direct/P8874
28,62,icaa rate,http://www.wikidata.org/prop/direct/P3306
95,870,ifco rate,http://www.wikidata.org/prop/direct/P7573
119,1833,igac rate,http://www.wikidata.org/prop/direct/P5150
6,8,imag,http://www.wikidata.org/prop/direct/P18
6,8,image,http://www.wikidata.org/prop/direct/P18
6,8,imageri,http://www.wikidata.org/prop/direct/P18
114,1705,imda rate,http://www.wikidata.org/prop/direct/P5201
8,10,imdb id,http://www.wikidata.org/prop/direct/P345
109,1591,incaa film rate,http://www.wikidata.org/prop/direct/P3428
178,7064,inchterested inch,http://www.wikidata.org/prop/direct/P2650
182,7886,indigen to,http://www.wikidata.org/prop/direct/P2341
182,7886,indigenous to,http://www.wikidata.org/prop/direct/P2341
125,2331,industri,http://www.wikidata.org/prop/direct/P452
